processo,data_movimento_incompetencia,classe_codigo,classe_nome,data_ajuizamento,orgao_julgador_codigo,orgao_julgador_nome,ano_ajuizamento,mes_ajuizamento,municipio_nome,status_arquivamento_definitivo
00077386820248160069,2024-12-13T17:44:44Z,111,Habilitação de Crédito,2024-07-17T14:50:02Z,8809,MARINGÁ - 3ª VARA CÍVEL,2024,2024-07-01T00:00:00Z,Maringá,TRUE
00078481220258160173,2025-06-24T19:42:02Z,114,Impugnação de Crédito,2025-06-18T15:14:46Z,8933,UMUARAMA - 1ª VARA CÍVEL E DA FAZENDA PÚBLICA,2025,2025-06-01T00:00:00Z,Umuarama,FALSE
00080060320248160044,2025-01-27T17:21:04Z,111,Habilitação de Crédito,2024-07-11T16:08:44Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-07-01T00:00:00Z,Londrina,TRUE
00082485920248160044,2025-01-10T17:30:32Z,111,Habilitação de Crédito,2024-07-17T15:24:29Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-07-01T00:00:00Z,Londrina,TRUE
00082535320248160021,2024-07-05T17:12:58Z,111,Habilitação de Crédito,2024-03-05T18:38:28Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-03-01T00:00:00Z,Cascavel,TRUE
00083672020248160044,2025-01-29T16:22:42Z,114,Impugnação de Crédito,2024-07-21T14:10:16Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-07-01T00:00:00Z,Londrina,TRUE
00084348220248160044,2025-01-29T14:22:32Z,129,Recuperação Judicial,2024-07-23T10:34:47Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-07-01T00:00:00Z,Londrina,FALSE
00088391720248160013,2024-05-18T17:43:44Z,111,Habilitação de Crédito,2024-05-18T15:22:43Z,26404,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2024,2024-05-01T00:00:00Z,Curitiba,FALSE
00089033120248160044,2025-01-27T17:20:57Z,111,Habilitação de Crédito,2024-08-01T10:24:32Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-08-01T00:00:00Z,Londrina,FALSE
00090087720248160021,2024-08-08T18:16:15Z,129,Recuperação Judicial,2024-03-11T14:35:18Z,13752,CASCAVEL - 4ª VARA CÍVEL,2024,2024-03-01T00:00:00Z,Cascavel,FALSE
00090213320258160024,2025-10-13T17:41:21Z,129,Recuperação Judicial,2025-10-13T10:14:29Z,26422,CURITIBA - 2ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,2025,2025-10-01T00:00:00Z,Curitiba,FALSE
00091232920248160044,2025-01-08T15:39:36Z,111,Habilitação de Crédito,2024-08-05T17:33:59Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-08-01T00:00:00Z,Londrina,TRUE
00091631120248160044,2025-01-27T17:20:56Z,111,Habilitação de Crédito,2024-08-06T15:56:02Z,13950,LONDRINA - 11ª VARA CÍVEL E EMPRESARIAL REGIONAL,2024,2024-08-01T00:00:00Z,Londrina,TRUE
